Frame,Fast,Smoothed,Overshoot
0,0,0,0
1,0.638204,0.182032,0.406113
2,1.33407,0.371766,0.887301
3,2.045,0.567101,1.42461
4,2.73666,0.766154,1.99951
5,3.38274,0.967248,2.59425
6,3.96444,1.1689,3.1923
7,4.46974,1.36979,3.77859
8,4.89246,1.56877,4.33976
9,5.23137,1.76485,4.86433
10,5.48915,1.95718,5.34281
11,5.67148,2.14501,5.76773
12,5.78617,2.32773,6.13367
13,5.84236,2.50484,6.43714
14,5.84983,2.67591,6.67655
15,5.81845,2.84064,6.85203
16,5.75775,2.99875,6.96528
17,5.67652,3.15009,7.01936
18,5.58263,3.29454,7.01851
19,5.48284,3.43203,6.96795
20,5.38278,3.56257,6.87359
21,5.28688,3.68618,6.74189
22,5.19848,3.80295,6.57963
23,5.11989,3.91298,6.39368
24,5.0525,4.0164,6.19088
25,4.99693,4.11338,5.9778
26,4.95312,4.20411,5.76068
27,4.92055,4.28876,5.54525
28,4.89828,4.36757,5.33667
29,4.88514,4.44075,5.13945
30,4.87979,4.50852,4.95737
31,4.88084,4.57113,4.7935
32,4.88689,4.62881,4.65017
33,4.89663,4.68181,4.52899
34,4.90887,4.73035,4.43084
35,4.92255,4.77469,4.35599
36,4.93675,4.81506,4.30409
37,4.95076,4.85168,4.27424
38,4.96399,4.88479,4.26512
39,4.97603,4.91461,4.27499
40,4.9866,4.94135,4.30182
41,4.99555,4.96521,4.34334
42,5.00281,4.9864,4.39716
43,5.00843,5.00512,4.46078
44,5.01251,5.02153,4.5317
45,5.01518,5.03583,4.6075
46,5.01663,5.04818,4.68584
47,5.01704,5.05874,4.76454
48,5.01662,5.06766,4.84164
49,5.01556,5.07508,4.91538
50,5.01404,5.08114,4.98426
51,5.01222,5.08597,5.04703
52,5.01025,5.08969,5.10273
53,5.00824,5.0924,5.15064
54,5.00629,5.09421,5.19032
55,5.00447,5.09522,5.22157
56,5.00284,5.09553,5.2444
57,5.00142,5.0952,5.25905
58,5.00024,5.09433,5.26593
59,4.9993,5.09298,5.2656
60,4.99858,5.09123,5.25874
61,4.99808,5.08912,5.24615
62,4.99776,5.08672,5.22867
63,4.99761,5.08407,5.2072
64,4.9976,5.08122,5.18264
65,4.99769,5.07822,5.15588
66,4.99787,5.0751,5.1278
67,4.9981,5.07189,5.09922
68,4.99837,5.06863,5.07088
69,4.99865,5.06534,5.04346
70,4.99893,5.06204,5.01756
71,4.9992,5.05876,4.99366
72,4.99945,5.05551,4.97217
73,4.99967,5.05232,4.95339
74,4.99986,5.04918,4.93754
75,5.00002,5.04613,4.92471
76,5.00014,5.04316,4.91496
77,5.00023,5.04028,4.90822
78,5.00029,5.0375,4.90438
79,5.00033,5.03483,4.90327
80,5.00034,5.03226,4.90464
81,5.00034,5.02981,4.90824
82,5.00032,5.02747,4.91376
83,5.00029,5.02524,4.92089
84,5.00026,5.02312,4.9293
85,5.00022,5.02112,4.93867
86,5.00018,5.01923,4.94866
87,5.00014,5.01746,4.95898
88,5.0001,5.01578,4.96933
89,5.00007,5.01422,4.97947
90,5.00004,5.01275,4.98916
91,5.00001,5.01139,4.99821
92,4.99999,5.01011,5.00644
93,4.99998,5.00893,5.01374
94,4.99996,5.00784,5.02001
95,4.99996,5.00683,5.0252
96,4.99995,5.0059,5.02928
97,4.99995,5.00505,5.03225
98,4.99995,5.00427,5.03415
99,4.99996,5.00356,5.03502
